Grade,Year,County,Count
Grades 9-12,2016,Wicomico County,4142
Grades 9-12,2016,Worcester County,2025
Grades 9-12,2016,Total,255624
Grades Pre-K,2017,Baltimore City,4411
Grades Pre-K,2017,Allegany County,438
Grades Pre-K,2017,Anne Arundel County,2320
Grades Pre-K,2017,Baltimore County,3767
Grades Pre-K,2017,Calvert County,455
Grades Pre-K,2017,Caroline County,315
Grades Pre-K,2017,Carroll County,348
Grades Pre-K,2017,Cecil County,580
Grades Pre-K,2017,Charles County,807
Grades Pre-K,2017,Dorchester County,236
Grades Pre-K,2017,Frederick County,1285
Grades Pre-K,2017,Garrett County,161
Grades Pre-K,2017,Harford County,906
Grades Pre-K,2017,Howard County,1314
Grades Pre-K,2017,Kent County,128
Grades Pre-K,2017,Montgomery County,4423
Grades Pre-K,2017,Prince George's County,5241
Grades Pre-K,2017,Queen Anne's County,242
Grades Pre-K,2017,St. Mary's County,899
Grades Pre-K,2017,Somerset County,210
Grades Pre-K,2017,Talbot County,238
Grades Pre-K,2017,Washington County,676
Grades Pre-K,2017,Wicomico County,665
Grades Pre-K,2017,Worcester County,357
Grades Pre-K,2017,Total,30422
Grades K-5,2017,Baltimore City,38453
Grades K-5,2017,Allegany County,3825
Grades K-5,2017,Anne Arundel County,39003
Grades K-5,2017,Baltimore County,52898
Grades K-5,2017,Calvert County,6645
Grades K-5,2017,Caroline County,2555
Grades K-5,2017,Carroll County,10739
Grades K-5,2017,Cecil County,6710
Grades K-5,2017,Charles County,11466
Grades K-5,2017,Dorchester County,2185
Grades K-5,2017,Frederick County,18401
Grades K-5,2017,Garrett County,1636
Grades K-5,2017,Harford County,16715
Grades K-5,2017,Howard County,25012
Grades K-5,2017,Kent County,833
Grades K-5,2017,Montgomery County,72214
Grades K-5,2017,Prince George's County,61425
Grades K-5,2017,Queen Anne's County,3354
Grades K-5,2017,St. Mary's County,8039
Grades K-5,2017,Somerset County,1312
Grades K-5,2017,Talbot County,1988
Grades K-5,2017,Washington County,10015
Grades K-5,2017,Wicomico County,7080
Grades K-5,2017,Worcester County,2864
Grades K-5,2017,Total,405367
Grades 6-8,2017,Baltimore City,16964
Grades 6-8,2017,Allegany County,1835
Grades 6-8,2017,Anne Arundel County,18233
Grades 6-8,2017,Baltimore County,24949
Grades 6-8,2017,Calvert County,3600
Grades 6-8,2017,Caroline County,1278
Grades 6-8,2017,Carroll County,5865
Grades 6-8,2017,Cecil County,3438
Grades 6-8,2017,Charles County,6103
Grades 6-8,2017,Dorchester County,1063
Grades 6-8,2017,Frederick County,9649
Grades 6-8,2017,Garrett County,883
Grades 6-8,2017,Harford County,8675
Grades 6-8,2017,Howard County,13196
Grades 6-8,2017,Kent County,448
Grades 6-8,2017,Montgomery County,36080
Grades 6-8,2017,Prince George's County,28589
Grades 6-8,2017,Queen Anne's County,1831
Grades 6-8,2017,St. Mary's County,3966
Grades 6-8,2017,Somerset County,664
Grades 6-8,2017,Talbot County,996
Grades 6-8,2017,Washington County,5062
Grades 6-8,2017,Wicomico County,2985
Grades 6-8,2017,Worcester County,1428
Grades 6-8,2017,Total,197780
Grades 9-12,2017,Baltimore City,20763
Grades 9-12,2017,Allegany County,2531
Grades 9-12,2017,Anne Arundel County,23221
Grades 9-12,2017,Baltimore County,31668
Grades 9-12,2017,Calvert County,5208
Grades 9-12,2017,Caroline County,1639
Grades 9-12,2017,Carroll County,8338
Grades 9-12,2017,Cecil County,4636
Grades 9-12,2017,Charles County,8515
Grades 9-12,2017,Dorchester County,1283
Grades 9-12,2017,Frederick County,12805
Grades 9-12,2017,Garrett County,1131
Grades 9-12,2017,Harford County,11484
Grades 9-12,2017,Howard County,17262
Grades 9-12,2017,Kent County,584
Grades 9-12,2017,Montgomery County,48829
Grades 9-12,2017,Prince George's County,37067
Grades 9-12,2017,Queen Anne's County,2351
Grades 9-12,2017,St. Mary's County,5149
Grades 9-12,2017,Somerset County,732
Grades 9-12,2017,Talbot County,1424
Grades 9-12,2017,Washington County,6842
Grades 9-12,2017,Wicomico County,4223
Grades 9-12,2017,Worcester County,2035
Grades 9-12,2017,Total,259720
Grades Pre-K,2018,Baltimore City,4337
Grades Pre-K,2018,Allegany County,469
Grades Pre-K,2018,Anne Arundel County,2324
Grades Pre-K,2018,Baltimore County,3903
Grades Pre-K,2018,Calvert County,440
Grades Pre-K,2018,Caroline County,312
Grades Pre-K,2018,Carroll County,354
Grades Pre-K,2018,Cecil County,623
Grades Pre-K,2018,Charles County,789
Grades Pre-K,2018,Dorchester County,237
Grades Pre-K,2018,Frederick County,1259
Grades Pre-K,2018,Garrett County,180
Grades Pre-K,2018,Harford County,952
Grades Pre-K,2018,Howard County,1337
Grades Pre-K,2018,Kent County,112
Grades Pre-K,2018,Montgomery County,4579
Grades Pre-K,2018,Prince George's County,5143
Grades Pre-K,2018,Queen Anne's County,248
Grades Pre-K,2018,St. Mary's County,956
Grades Pre-K,2018,Somerset County,199
Grades Pre-K,2018,Talbot County,278
Grades Pre-K,2018,Washington County,871
Grades Pre-K,2018,Wicomico County,646
Grades Pre-K,2018,Worcester County,402
Grades Pre-K,2018,Total,30950
Grades K-5,2018,Baltimore City,37159
Grades K-5,2018,Allegany County,3770
Grades K-5,2018,Anne Arundel County,38848
Grades K-5,2018,Baltimore County,52462
Grades K-5,2018,Calvert County,6642
Grades K-5,2018,Caroline County,2554
Grades K-5,2018,Carroll County,10712
Grades K-5,2018,Cecil County,6559
Grades K-5,2018,Charles County,11508
Grades K-5,2018,Dorchester County,2133
Grades K-5,2018,Frederick County,18554
Grades K-5,2018,Garrett County,1613
Grades K-5,2018,Harford County,16706
Grades K-5,2018,Howard County,25353
Grades K-5,2018,Kent County,821
Grades K-5,2018,Montgomery County,71877
Grades K-5,2018,Prince George's County,60855
Grades K-5,2018,Queen Anne's County,3321
Grades K-5,2018,St. Mary's County,7793
Grades K-5,2018,Somerset County,1351
Grades K-5,2018,Talbot County,1953
Grades K-5,2018,Washington County,9853
Grades K-5,2018,Wicomico County,7021
Grades K-5,2018,Worcester County,2864
Grades K-5,2018,Total,402282
Grades 6-8,2018,Baltimore City,17148
Grades 6-8,2018,Allegany County,1853
Grades 6-8,2018,Anne Arundel County,18746
Grades 6-8,2018,Baltimore County,25299
Grades 6-8,2018,Calvert County,3720
Grades 6-8,2018,Caroline County,1316
Grades 6-8,2018,Carroll County,5863
Grades 6-8,2018,Cecil County,3557
Grades 6-8,2018,Charles County,6251
Grades 6-8,2018,Dorchester County,1103
Grades 6-8,2018,Frederick County,9976
Grades 6-8,2018,Garrett County,895
Grades 6-8,2018,Harford County,8796
Grades 6-8,2018,Howard County,13448
Grades 6-8,2018,Kent County,416
Grades 6-8,2018,Montgomery County,36568
Grades 6-8,2018,Prince George's County,29543
Grades 6-8,2018,Queen Anne's County,1802
Grades 6-8,2018,St. Mary's County,4093
Grades 6-8,2018,Somerset County,617
Grades 6-8,2018,Talbot County,1015
Grades 6-8,2018,Washington County,5214
Grades 6-8,2018,Wicomico County,3078
Grades 6-8,2018,Worcester County,1500
Grades 6-8,2018,Total,201817
Grades 9-12,2018,Baltimore City,20653
Grades 9-12,2018,Allegany County,2447
Grades 9-12,2018,Anne Arundel County,23389
Grades 9-12,2018,Baltimore County,32150
Grades 9-12,2018,Calvert County,5134
Grades 9-12,2018,Caroline County,1647
Grades 9-12,2018,Carroll County,8250
Grades 9-12,2018,Cecil County,4568
Grades 9-12,2018,Charles County,8560
Grades 9-12,2018,Dorchester County,1312
Grades 9-12,2018,Frederick County,12925
Grades 9-12,2018,Garrett County,1154
Grades 9-12,2018,Harford County,11372
Grades 9-12,2018,Howard County,17769
Grades 9-12,2018,Kent County,563
Grades 9-12,2018,Montgomery County,49656
Grades 9-12,2018,Prince George's County,37126
Grades 9-12,2018,Queen Anne's County,2378
Grades 9-12,2018,St. Mary's County,5157
Grades 9-12,2018,Somerset County,763
Grades 9-12,2018,Talbot County,1428
Grades 9-12,2018,Washington County,6743
Grades 9-12,2018,Wicomico County,4204
Grades 9-12,2018,Worcester County,2044
Grades 9-12,2018,Total,261392
Grades Pre-K,2019,Baltimore City,4394
Grades Pre-K,2019,Allegany County,455
Grades Pre-K,2019,Anne Arundel County,2380
Grades Pre-K,2019,Baltimore County,3964
Grades Pre-K,2019,Calvert County,425
Grades Pre-K,2019,Caroline County,366
Grades Pre-K,2019,Carroll County,371
Grades Pre-K,2019,Cecil County,664
Grades Pre-K,2019,Charles County,939
Grades Pre-K,2019,Dorchester County,223
Grades Pre-K,2019,Frederick County,1399
Grades Pre-K,2019,Garrett County,205
Grades Pre-K,2019,Harford County,1014
Grades Pre-K,2019,Howard County,1360
Grades Pre-K,2019,Kent County,117
Grades Pre-K,2019,Montgomery County,4680
Grades Pre-K,2019,Prince George's County,5283
Grades Pre-K,2019,Queen Anne's County,259
Grades Pre-K,2019,St. Mary's County,945
Grades Pre-K,2019,Somerset County,215
Grades Pre-K,2019,Talbot County,251
Grades Pre-K,2019,Washington County,1128
Grades Pre-K,2019,Wicomico County,734
Grades Pre-K,2019,Worcester County,432
Grades Pre-K,2019,Total,32203
Grades K-5,2019,Baltimore City,36288
Grades K-5,2019,Allegany County,3708
Grades K-5,2019,Anne Arundel County,39290
Grades K-5,2019,Baltimore County,52183
Grades K-5,2019,Calvert County,6710
Grades K-5,2019,Caroline County,2476
Grades K-5,2019,Carroll County,10933
Grades K-5,2019,Cecil County,6448
Grades K-5,2019,Charles County,11459
Grades K-5,2019,Dorchester County,2086
Grades K-5,2019,Frederick County,18934
Grades K-5,2019,Garrett County,1605
Grades K-5,2019,Harford County,16870
Grades K-5,2019,Howard County,25499
Grades K-5,2019,Kent County,812
Grades K-5,2019,Montgomery County,72085
Grades K-5,2019,Prince George's County,61505
Grades K-5,2019,Queen Anne's County,3249
Grades K-5,2019,St. Mary's County,7779
Grades K-5,2019,Somerset County,1297
Grades K-5,2019,Talbot County,1929
Grades K-5,2019,Washington County,9793
Grades K-5,2019,Wicomico County,7036
Grades K-5,2019,Worcester County,2921
Grades K-5,2019,Total,402895
Grades 6-8,2019,Baltimore City,17431
Grades 6-8,2019,Allegany County,1894
Grades 6-8,2019,Anne Arundel County,19427
Grades 6-8,2019,Baltimore County,25885
Grades 6-8,2019,Calvert County,3746
Grades 6-8,2019,Caroline County,1381
Grades 6-8,2019,Carroll County,5857
Grades 6-8,2019,Cecil County,3575
Grades 6-8,2019,Charles County,6504
Grades 6-8,2019,Dorchester County,1123
Grades 6-8,2019,Frederick County,10303
Grades 6-8,2019,Garrett County,882
Grades 6-8,2019,Harford County,9143
Grades 6-8,2019,Howard County,13838
Grades 6-8,2019,Kent County,421
Grades 6-8,2019,Montgomery County,37708
Grades 6-8,2019,Prince George's County,30993
Grades 6-8,2019,Queen Anne's County,1848
Grades 6-8,2019,St. Mary's County,4123
Grades 6-8,2019,Somerset County,619
Grades 6-8,2019,Talbot County,1048
Grades 6-8,2019,Washington County,5297
Grades 6-8,2019,Wicomico County,3222
Grades 6-8,2019,Worcester County,1508
Grades 6-8,2019,Total,207776
Grades 9-12,2019,Baltimore City,21074
Grades 9-12,2019,Allegany County,2380
Grades 9-12,2019,Anne Arundel County,23887
Grades 9-12,2019,Baltimore County,33006
Grades 9-12,2019,Calvert County,5141
Grades 9-12,2019,Caroline County,1651
Grades 9-12,2019,Carroll County,8184
Grades 9-12,2019,Cecil County,4569
Grades 9-12,2019,Charles County,8619
Grades 9-12,2019,Dorchester County,1278
Grades 9-12,2019,Frederick County,13192
Grades 9-12,2019,Garrett County,1142
Grades 9-12,2019,Harford County,11402
Grades 9-12,2019,Howard County,18171
Grades 9-12,2019,Kent County,568
Grades 9-12,2019,Montgomery County,50794
Grades 9-12,2019,Prince George's County,38181
Grades 9-12,2019,Queen Anne's County,2408
Grades 9-12,2019,St. Mary's County,5236
Grades 9-12,2019,Somerset County,774
Grades 9-12,2019,Talbot County,1475
Grades 9-12,2019,Washington County,6775
Grades 9-12,2019,Wicomico County,4211
Grades 9-12,2019,Worcester County,2021
Grades 9-12,2019,Total,266139
Grades Pre-K,2020,Baltimore City,2816
Grades Pre-K,2020,Allegany County,332
Grades Pre-K,2020,Anne Arundel County,1929
Grades Pre-K,2020,Baltimore County,2877
Grades Pre-K,2020,Calvert County,340
Grades Pre-K,2020,Caroline County,245
Grades Pre-K,2020,Carroll County,316
Grades Pre-K,2020,Cecil County,496
Grades Pre-K,2020,Charles County,729
Grades Pre-K,2020,Dorchester County,170
Grades Pre-K,2020,Frederick County,1063
Grades Pre-K,2020,Garrett County,157
Grades Pre-K,2020,Harford County,788
Grades Pre-K,2020,Howard County,1014
Grades Pre-K,2020,Kent County,79
Grades Pre-K,2020,Montgomery County,3597
Grades Pre-K,2020,Prince George's County,3916
Grades Pre-K,2020,Queen Anne's County,224
Grades Pre-K,2020,St. Mary's County,522
Grades Pre-K,2020,Somerset County,156
Grades Pre-K,2020,Talbot County,232
Grades Pre-K,2020,Washington County,797
Grades Pre-K,2020,Wicomico County,470
Grades Pre-K,2020,Worcester County,351
Grades Pre-K,2020,Total,23616
Grades K-5,2020,Baltimore City,35379
Grades K-5,2020,Allegany County,3468
Grades K-5,2020,Anne Arundel County,37231
Grades K-5,2020,Baltimore County,48882
Grades K-5,2020,Calvert County,6198
Grades K-5,2020,Caroline County,2316
Grades K-5,2020,Carroll County,10484
Grades K-5,2020,Cecil County,6097
Grades K-5,2020,Charles County,10946
Grades K-5,2020,Dorchester County,1981
Grades K-5,2020,Frederick County,18311
Grades K-5,2020,Garrett County,1515
Grades K-5,2020,Harford County,16138
Grades K-5,2020,Howard County,24335
Grades K-5,2020,Kent County,773
Grades K-5,2020,Montgomery County,68899
Grades K-5,2020,Prince George's County,58896
Grades K-5,2020,Queen Anne's County,2982
Grades K-5,2020,St. Mary's County,7400
Grades K-5,2020,Somerset County,1245
Grades K-5,2020,Talbot County,1850
Grades K-5,2020,Washington County,9210
Grades K-5,2020,Wicomico County,6492
Grades K-5,2020,Worcester County,2744
Grades K-5,2020,Total,383772
Grades 6-8,2020,Baltimore City,17820
Grades 6-8,2020,Allegany County,1853
Grades 6-8,2020,Anne Arundel County,19581
Grades 6-8,2020,Baltimore County,25984
Grades 6-8,2020,Calvert County,3639
Grades 6-8,2020,Caroline County,1306
Grades 6-8,2020,Carroll County,5713
Grades 6-8,2020,Cecil County,3526
Grades 6-8,2020,Charles County,6378
Grades 6-8,2020,Dorchester County,1139
Grades 6-8,2020,Frederick County,10304
Grades 6-8,2020,Garrett County,837
Grades 6-8,2020,Harford County,8971
Grades 6-8,2020,Howard County,13710
Grades 6-8,2020,Kent County,380
Grades 6-8,2020,Montgomery County,37376
Grades 6-8,2020,Prince George's County,30947
Grades 6-8,2020,Queen Anne's County,1805
Grades 6-8,2020,St. Mary's County,4076
Grades 6-8,2020,Somerset County,635
Grades 6-8,2020,Talbot County,1025
Grades 6-8,2020,Washington County,5157
Grades 6-8,2020,Wicomico County,3264
Grades 6-8,2020,Worcester County,1538
Grades 6-8,2020,Total,206964
Grades 9-12,2020,Baltimore City,21841
Grades 9-12,2020,Allegany County,2422
Grades 9-12,2020,Anne Arundel County,24303
Grades 9-12,2020,Baltimore County,33341
Grades 9-12,2020,Calvert County,5115
Grades 9-12,2020,Caroline County,1686
Grades 9-12,2020,Carroll County,8055
Grades 9-12,2020,Cecil County,4599
Grades 9-12,2020,Charles County,8715
Grades 9-12,2020,Dorchester County,1372
Grades 9-12,2020,Frederick County,13543
Grades 9-12,2020,Garrett County,1139
Grades 9-12,2020,Harford County,11436
Grades 9-12,2020,Howard County,18234
Grades 9-12,2020,Kent County,580
Grades 9-12,2020,Montgomery County,50692
Grades 9-12,2020,Prince George's County,37898
Grades 9-12,2020,Queen Anne's County,2384
Grades 9-12,2020,St. Mary's County,5248
Grades 9-12,2020,Somerset County,782
Grades 9-12,2020,Talbot County,1417
Grades 9-12,2020,Washington County,6775
Grades 9-12,2020,Wicomico County,4128
Grades 9-12,2020,Worcester County,2078
Grades 9-12,2020,Total,267783
Grades Pre-K,2021,Baltimore City,3766
Grades Pre-K,2021,Allegany County,439
Grades Pre-K,2021,Anne Arundel County,2060
Grades Pre-K,2021,Baltimore County,3514
Grades Pre-K,2021,Calvert County,374
Grades Pre-K,2021,Caroline County,284
Grades Pre-K,2021,Carroll County,419
Grades Pre-K,2021,Cecil County,618
Grades Pre-K,2021,Charles County,886
Grades Pre-K,2021,Dorchester County,222
Grades Pre-K,2021,Frederick County,1285
Grades Pre-K,2021,Garrett County,151
Grades Pre-K,2021,Harford County,991
Grades Pre-K,2021,Howard County,1321
Grades Pre-K,2021,Kent County,79
Grades Pre-K,2021,Montgomery County,3639
Grades Pre-K,2021,Prince George's County,4106
Grades Pre-K,2021,Queen Anne's County,315
Grades Pre-K,2021,St. Mary's County,705
Grades Pre-K,2021,Somerset County,176
Grades Pre-K,2021,Talbot County,293
Grades Pre-K,2021,Washington County,1040
Grades Pre-K,2021,Wicomico County,716
Grades Pre-K,2021,Worcester County,368
Grades Pre-K,2021,Total,27767
Grades K-5,2021,Baltimore City,34343
Grades K-5,2021,Allegany County,3461
Grades K-5,2021,Anne Arundel County,36815
Grades K-5,2021,Baltimore County,48285
Grades K-5,2021,Calvert County,6398
Grades K-5,2021,Caroline County,2300
Grades K-5,2021,Carroll County,10932
Grades K-5,2021,Cecil County,6108
Grades K-5,2021,Charles County,10854
Grades K-5,2021,Dorchester County,1937
Grades K-5,2021,Frederick County,19454
Grades K-5,2021,Garrett County,1441
Grades K-5,2021,Harford County,16446
Grades K-5,2021,Howard County,24366
Grades K-5,2021,Kent County,757
Grades K-5,2021,Montgomery County,67614
Grades K-5,2021,Prince George's County,56949
Grades K-5,2021,Queen Anne's County,3067
Grades K-5,2021,St. Mary's County,7389
Grades K-5,2021,Somerset County,1216
Grades K-5,2021,Talbot County,1821
Grades K-5,2021,Washington County,9381
Grades K-5,2021,Wicomico County,6525
Grades K-5,2021,Worcester County,2761
Grades K-5,2021,Total,380620
Grades 6-8,2021,Baltimore City,17278
Grades 6-8,2021,Allegany County,1840
Grades 6-8,2021,Anne Arundel County,19378
Grades 6-8,2021,Baltimore County,25280
Grades 6-8,2021,Calvert County,3558
Grades 6-8,2021,Caroline County,1257
Grades 6-8,2021,Carroll County,5689
Grades 6-8,2021,Cecil County,3396
Grades 6-8,2021,Charles County,6146
Grades 6-8,2021,Dorchester County,1057
Grades 6-8,2021,Frederick County,10389
Grades 6-8,2021,Garrett County,801
Grades 6-8,2021,Harford County,8826
Grades 6-8,2021,Howard County,13319
Grades 6-8,2021,Kent County,392
Grades 6-8,2021,Montgomery County,36366
Grades 6-8,2021,Prince George's County,29902
Grades 6-8,2021,Queen Anne's County,1702
Grades 6-8,2021,St. Mary's County,3994
Grades 6-8,2021,Somerset County,606
Grades 6-8,2021,Talbot County,1004
Grades 6-8,2021,Washington County,4913
Grades 6-8,2021,Wicomico County,3248
Grades 6-8,2021,Worcester County,1533
Grades 6-8,2021,Total,201874
Grades 9-12,2021,Baltimore City,22420
Grades 9-12,2021,Allegany County,2392
Grades 9-12,2021,Anne Arundel County,24910
Grades 9-12,2021,Baltimore County,34060
Grades 9-12,2021,Calvert County,5077
Grades 9-12,2021,Caroline County,1710
Grades 9-12,2021,Carroll County,8014
Grades 9-12,2021,Cecil County,4658
Grades 9-12,2021,Charles County,8989
Grades 9-12,2021,Dorchester County,1357
Grades 9-12,2021,Frederick County,14092
Grades 9-12,2021,Garrett County,1109
Grades 9-12,2021,Harford County,11657
Grades 9-12,2021,Howard County,18319
Grades 9-12,2021,Kent County,558
Grades 9-12,2021,Montgomery County,50612
Grades 9-12,2021,Prince George's County,37820
Grades 9-12,2021,Queen Anne's County,2356
Grades 9-12,2021,St. Mary's County,5392
Grades 9-12,2021,Somerset County,743
Grades 9-12,2021,Talbot County,1415
Grades 9-12,2021,Washington County,6837
Grades 9-12,2021,Wicomico County,4175
Grades 9-12,2021,Worcester County,2141
Grades 9-12,2021,Total,270813
