Grade,Year,County,Count
Grades 6-8,2011,Dorchester County,943
Grades 6-8,2011,Frederick County,8943
Grades 6-8,2011,Garrett County,935
Grades 6-8,2011,Harford County,8643
Grades 6-8,2011,Howard County,11541
Grades 6-8,2011,Kent County,445
Grades 6-8,2011,Montgomery County,31276
Grades 6-8,2011,Prince George's County,26118
Grades 6-8,2011,Queen Anne's County,1692
Grades 6-8,2011,St. Mary's County,3697
Grades 6-8,2011,Somerset County,566
Grades 6-8,2011,Talbot County,935
Grades 6-8,2011,Washington County,5037
Grades 6-8,2011,Wicomico County,3046
Grades 6-8,2011,Worcester County,1411
Grades 6-8,2011,Total,184459
Grades 9-12,2011,Baltimore City,23706
Grades 9-12,2011,Allegany County,2660
Grades 9-12,2011,Anne Arundel County,22696
Grades 9-12,2011,Baltimore County,30993
Grades 9-12,2011,Calvert County,5525
Grades 9-12,2011,Caroline County,1577
Grades 9-12,2011,Carroll County,9054
Grades 9-12,2011,Cecil County,4777
Grades 9-12,2011,Charles County,9159
Grades 9-12,2011,Dorchester County,1367
Grades 9-12,2011,Frederick County,12680
Grades 9-12,2011,Garrett County,1254
Grades 9-12,2011,Harford County,12036
Grades 9-12,2011,Howard County,16667
Grades 9-12,2011,Kent County,648
Grades 9-12,2011,Montgomery County,45232
Grades 9-12,2011,Prince George's County,37272
Grades 9-12,2011,Queen Anne's County,2412
Grades 9-12,2011,St. Mary's County,5220
Grades 9-12,2011,Somerset County,744
Grades 9-12,2011,Talbot County,1358
Grades 9-12,2011,Washington County,6670
Grades 9-12,2011,Wicomico County,4014
Grades 9-12,2011,Worcester County,2095
Grades 9-12,2011,Total,259816
Grades Pre-K,2012,Baltimore City,4890
Grades Pre-K,2012,Allegany County,520
Grades Pre-K,2012,Anne Arundel County,2182
Grades Pre-K,2012,Baltimore County,3658
Grades Pre-K,2012,Calvert County,400
Grades Pre-K,2012,Caroline County,365
Grades Pre-K,2012,Carroll County,363
Grades Pre-K,2012,Cecil County,627
Grades Pre-K,2012,Charles County,911
Grades Pre-K,2012,Dorchester County,270
Grades Pre-K,2012,Frederick County,1067
Grades Pre-K,2012,Garrett County,86
Grades Pre-K,2012,Harford County,760
Grades Pre-K,2012,Howard County,1084
Grades Pre-K,2012,Kent County,119
Grades Pre-K,2012,Montgomery County,3779
Grades Pre-K,2012,Prince George's County,5602
Grades Pre-K,2012,Queen Anne's County,249
Grades Pre-K,2012,St. Mary's County,741
Grades Pre-K,2012,Somerset County,214
Grades Pre-K,2012,Talbot County,293
Grades Pre-K,2012,Washington County,489
Grades Pre-K,2012,Wicomico County,611
Grades Pre-K,2012,Worcester County,391
Grades Pre-K,2012,Total,29671
Grades K-5,2012,Baltimore City,39490
Grades K-5,2012,Allegany County,3822
Grades K-5,2012,Anne Arundel County,36027
Grades K-5,2012,Baltimore County,49464
Grades K-5,2012,Calvert County,6733
Grades K-5,2012,Caroline County,2516
Grades K-5,2012,Carroll County,11370
Grades K-5,2012,Cecil County,6850
Grades K-5,2012,Charles County,10938
Grades K-5,2012,Dorchester County,2155
Grades K-5,2012,Frederick County,17867
Grades K-5,2012,Garrett County,1787
Grades K-5,2012,Harford County,16834
Grades K-5,2012,Howard County,22768
Grades K-5,2012,Kent County,946
Grades K-5,2012,Montgomery County,68322
Grades K-5,2012,Prince George's County,56375
Grades K-5,2012,Queen Anne's County,3461
Grades K-5,2012,St. Mary's County,7955
Grades K-5,2012,Somerset County,1384
Grades K-5,2012,Talbot County,1993
Grades K-5,2012,Washington County,10185
Grades K-5,2012,Wicomico County,6911
Grades K-5,2012,Worcester County,2791
Grades K-5,2012,Total,388944
Grades 6-8,2012,Baltimore City,16995
Grades 6-8,2012,Allegany County,1923
Grades 6-8,2012,Anne Arundel County,16911
Grades 6-8,2012,Baltimore County,22771
Grades 6-8,2012,Calvert County,3765
Grades 6-8,2012,Caroline County,1182
Grades 6-8,2012,Carroll County,6055
Grades 6-8,2012,Cecil County,3485
Grades 6-8,2012,Charles County,5823
Grades 6-8,2012,Dorchester County,997
Grades 6-8,2012,Frederick County,8914
Grades 6-8,2012,Garrett County,915
Grades 6-8,2012,Harford County,8384
Grades 6-8,2012,Howard County,11501
Grades 6-8,2012,Kent County,444
Grades 6-8,2012,Montgomery County,31529
Grades 6-8,2012,Prince George's County,25822
Grades 6-8,2012,Queen Anne's County,1727
Grades 6-8,2012,St. Mary's County,3709
Grades 6-8,2012,Somerset County,614
Grades 6-8,2012,Talbot County,931
Grades 6-8,2012,Washington County,5011
Grades 6-8,2012,Wicomico County,3031
Grades 6-8,2012,Worcester County,1463
Grades 6-8,2012,Total,183902
Grades 9-12,2012,Baltimore City,23372
Grades 9-12,2012,Allegany County,2664
Grades 9-12,2012,Anne Arundel County,22650
Grades 9-12,2012,Baltimore County,31034
Grades 9-12,2012,Calvert County,5425
Grades 9-12,2012,Caroline County,1522
Grades 9-12,2012,Carroll County,8899
Grades 9-12,2012,Cecil County,4672
Grades 9-12,2012,Charles County,8972
Grades 9-12,2012,Dorchester County,1296
Grades 9-12,2012,Frederick County,12608
Grades 9-12,2012,Garrett County,1216
Grades 9-12,2012,Harford County,11890
Grades 9-12,2012,Howard County,16700
Grades 9-12,2012,Kent County,621
Grades 9-12,2012,Montgomery County,45150
Grades 9-12,2012,Prince George's County,35938
Grades 9-12,2012,Queen Anne's County,2315
Grades 9-12,2012,St. Mary's County,5048
Grades 9-12,2012,Somerset County,731
Grades 9-12,2012,Talbot County,1353
Grades 9-12,2012,Washington County,6718
Grades 9-12,2012,Wicomico County,3936
Grades 9-12,2012,Worcester County,2005
Grades 9-12,2012,Total,256735
Grades Pre-K,2013,Baltimore City,4763
Grades Pre-K,2013,Allegany County,523
Grades Pre-K,2013,Anne Arundel County,2157
Grades Pre-K,2013,Baltimore County,3667
Grades Pre-K,2013,Calvert County,362
Grades Pre-K,2013,Caroline County,310
Grades Pre-K,2013,Carroll County,372
Grades Pre-K,2013,Cecil County,720
Grades Pre-K,2013,Charles County,921
Grades Pre-K,2013,Dorchester County,253
Grades Pre-K,2013,Frederick County,1111
Grades Pre-K,2013,Garrett County,100
Grades Pre-K,2013,Harford County,770
Grades Pre-K,2013,Howard County,1125
Grades Pre-K,2013,Kent County,126
Grades Pre-K,2013,Montgomery County,3770
Grades Pre-K,2013,Prince George's County,5641
Grades Pre-K,2013,Queen Anne's County,244
Grades Pre-K,2013,St. Mary's County,937
Grades Pre-K,2013,Somerset County,217
Grades Pre-K,2013,Talbot County,238
Grades Pre-K,2013,Washington County,510
Grades Pre-K,2013,Wicomico County,591
Grades Pre-K,2013,Worcester County,383
Grades Pre-K,2013,Total,29811
Grades K-5,2013,Baltimore City,40023
Grades K-5,2013,Allegany County,3828
Grades K-5,2013,Anne Arundel County,36736
Grades K-5,2013,Baltimore County,50828
Grades K-5,2013,Calvert County,6728
